Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID
C001,59,Female,Shannon Mcmillan,"100,000+",Bangalore,Yes,Medium,juliemartin@example.net
C002,28,Female,Nathan Chang,"25,000-49,999",Hyderabad,Yes,Low,ccummings@example.net
C003,62,Male,Veronica Garrett,"50,000-74,999",Delhi,No,Low,stephen48@example.net
C004,25,Female,Amy Sutton,"75,000-99,999",Hyderabad,No,Medium,rodriguezrichard@example.org
C005,69,Male,Diana Evans,"100,000+",Delhi,Yes,High,stewartmelissa@example.net
C006,61,Female,Alan Chen,"75,000-99,999",Mumbai,Yes,Low,bowmankenneth@example.net
C007,53,Male,Michael Howard,"75,000-99,999",Delhi,No,Low,frederickjackie@example.org
C008,37,Female,Travis Lopez,"75,000-99,999",Bangalore,No,High,hernandezzachary@example.org
C009,79,Male,Mr. David Mcpherson,"25,000-49,999",Delhi,Yes,Medium,williemurillo@example.net
C0010,57,Female,Scott Smith,"50,000-74,999",Hyderabad,Yes,High,diane72@example.net
C0011,27,Female,Christopher Powers,"75,000-99,999",Mumbai,Yes,High,carrie63@example.org
C0012,40,Male,Judy Wilson,"25,000-49,999",Bangalore,Yes,Low,lisa39@example.org
C0013,79,Male,Christy Carr,"<25,000",Mumbai,Yes,Medium,christopher34@example.com
C0014,64,Female,Daniel Harris,"75,000-99,999",Chennai,Yes,High,daniellelowe@example.com
C0015,51,Female,Justin Miller,"75,000-99,999",Chennai,Yes,Low,lauraterry@example.net
C0016,83,Male,Robert Nash,"<25,000",Mumbai,Yes,Medium,michaelbrown@example.net
C0017,58,Female,Gary Campbell,"75,000-99,999",Chennai,Yes,High,karen52@example.com
C0018,68,Male,Michelle Elliott,"75,000-99,999",Delhi,No,Medium,hpatel@example.org
C0019,26,Male,Mr. Ricky Smith,"25,000-49,999",Hyderabad,No,High,hsmall@example.net
C0020,25,Male,Peter Rowe,"25,000-49,999",Hyderabad,Yes,High,murillokim@example.com
C0021,38,Female,Katie Jones,"50,000-74,999",Mumbai,No,Medium,mpaul@example.net
C0022,82,Female,Jennifer Riley,"50,000-74,999",Mumbai,No,Low,jonesmichelle@example.org
C0023,44,Female,Paul Taylor,"100,000+",Mumbai,No,Low,brianna11@example.org
C0024,30,Female,Mr. Thomas Williams MD,"50,000-74,999",Bangalore,Yes,High,dhouse@example.com
C0025,55,Female,Laura Callahan,"100,000+",Bangalore,Yes,Low,tperez@example.net
C0026,84,Female,James Ramirez,"75,000-99,999",Delhi,Yes,Low,imartin@example.net
C0027,53,Male,Jonathan Thomas,"<25,000",Bangalore,Yes,High,ogonzalez@example.org
