Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID
C001,52,Male,Gavin Beasley,"<25,000",Bangalore,No,Low,hudsonkelly@example.com
C002,83,Male,Colin Ewing,"50,000-74,999",Delhi,Yes,Low,michaeljones@example.org
C003,31,Female,Kelly Martinez,"<25,000",Mumbai,No,Low,melanie76@example.net
C004,66,Female,Kevin Jones,"25,000-49,999",Chennai,Yes,High,allen60@example.org
C005,66,Female,Brittany Jones,"25,000-49,999",Hyderabad,No,High,kingjerry@example.org
C006,40,Male,Timothy Morris,"<25,000",Chennai,No,Medium,sgarza@example.com
C007,26,Male,Edward Rice,"<25,000",Chennai,No,Low,pamelanichols@example.org
C008,77,Female,Tracy Green,"75,000-99,999",Hyderabad,Yes,Medium,josephowens@example.com
C009,64,Male,Lisa Joseph,"25,000-49,999",Mumbai,Yes,High,christensenashley@example.net
C0010,63,Female,Holly Mcguire,"100,000+",Chennai,Yes,High,allisonmorrison@example.org
C0011,27,Male,Jennifer Hicks,"25,000-49,999",Bangalore,No,Low,ijohnston@example.com
C0012,66,Female,Susan Ellis,"25,000-49,999",Bangalore,Yes,Low,bmartin@example.org
C0013,34,Female,Micheal Gonzalez,"100,000+",Hyderabad,Yes,Low,carrollamber@example.com
C0014,48,Female,Cynthia Walsh,"50,000-74,999",Mumbai,Yes,Low,lisalee@example.org
C0015,39,Male,Heather Williams,"<25,000",Mumbai,Yes,High,andrea28@example.net
C0016,25,Male,Allen Hernandez,"<25,000",Chennai,No,Low,raymond67@example.com
C0017,67,Female,Jennifer Hernandez,"<25,000",Delhi,Yes,Low,igutierrez@example.net
C0018,76,Female,Jessica Mcknight,"100,000+",Bangalore,Yes,Medium,brownlisa@example.net
C0019,44,Male,Timothy Brown,"75,000-99,999",Bangalore,No,High,gonzalezkimberly@example.net
C0020,48,Male,Michele Reed,"50,000-74,999",Mumbai,Yes,Low,marcusparker@example.com
C0021,58,Female,Holly Drake,"<25,000",Mumbai,No,Medium,lorilin@example.org
C0022,55,Male,Ashley King,"<25,000",Chennai,No,Low,timothyhays@example.org
C0023,64,Female,Katrina Cooper,"25,000-49,999",Mumbai,Yes,Medium,tanya27@example.org
C0024,52,Female,John Reilly,"25,000-49,999",Chennai,Yes,Low,mcdonaldjoshua@example.com
C0025,56,Female,Mr. Erik Adams MD,"50,000-74,999",Hyderabad,Yes,Low,adrianagarcia@example.com
C0026,77,Male,Colleen Nelson,"50,000-74,999",Chennai,Yes,High,frazierrebecca@example.net
C0027,60,Female,Katrina Rodriguez,"50,000-74,999",Chennai,No,Low,robertsjeffrey@example.net
C0028,32,Female,Michelle Scott,"25,000-49,999",Chennai,No,Low,robertsonaaron@example.org
C0029,33,Male,Holly Waters,"25,000-49,999",Hyderabad,No,Low,marvin94@example.org
C0030,31,Male,Amanda Smith,"<25,000",Chennai,Yes,Medium,loriharper@example.com
C0031,69,Male,Angela Cook,"50,000-74,999",Delhi,No,Medium,christopher32@example.com
C0032,22,Female,Leah Garcia,"75,000-99,999",Bangalore,Yes,Low,bvelez@example.com
C0033,81,Female,Melissa Burch,"75,000-99,999",Hyderabad,Yes,Medium,jessica39@example.net
C0034,42,Female,Daniel Schultz,"50,000-74,999",Mumbai,Yes,High,krista02@example.com
C0035,82,Male,Christopher Kelley,"75,000-99,999",Mumbai,No,Low,thomasrodgers@example.net
C0036,44,Female,Lindsey Weber,"<25,000",Mumbai,Yes,High,johnsongregory@example.com
C0037,66,Female,Jean Leonard,"25,000-49,999",Mumbai,No,High,hhuynh@example.com
C0038,52,Male,Christopher Miller,"50,000-74,999",Mumbai,Yes,High,christopher38@example.org
C0039,21,Male,Mrs. Jordan Higgins,"75,000-99,999",Mumbai,Yes,Medium,bprince@example.net
C0040,52,Female,Tracy Henry,"100,000+",Chennai,Yes,High,ffreeman@example.net
C0041,77,Female,Shaun Velasquez,"75,000-99,999",Hyderabad,No,Medium,henrymiller@example.com
C0042,36,Female,Mary Anthony,"75,000-99,999",Delhi,Yes,Low,harrisjohn@example.net
C0043,46,Female,Leslie Chandler,"50,000-74,999",Delhi,Yes,Medium,adamsanna@example.net
C0044,31,Female,Sarah Carey,"100,000+",Chennai,No,Low,williamnash@example.org
C0045,29,Female,Kenneth Taylor III,"25,000-49,999",Bangalore,No,High,lauren58@example.com
C0046,32,Female,Andrew Wall,"100,000+",Hyderabad,No,Low,lindaclark@example.org
C0047,66,Female,David Barber,"25,000-49,999",Delhi,No,Medium,nicole28@example.org
